Generic_controlled_vocabulary,Specific_controlled_vocabulary,Aliases
_DESIGN,_agency,choice; dilemma. Game theory; prisoner dilemma; 
_DESIGN,_designing rpg,
_DESIGN,_character sheet,
_DESIGN,_character,PC progression; PC creation; PC death
_DESIGN,_layout,rulebook; pdf; ebook; game material; props; materiality; electronic-ity; photocopy; object  
_DESIGN,_dungeon crawl,Labyrinth; maze
_DESIGN,_dice,diceless; randomizer;
_DESIGN,_freeform,ruleless
_DESIGN,_worldbuilding,magic; gods; trap
_DESIGN,_sandbox,hexcrawl; open table
_DESIGN,_map,
_DESIGN,_monster,npc
_DESIGN,_narrative authority,
_DESIGN,_pbta,
_DESIGN,_plot structure,
_DESIGN,_probability,
_DESIGN,_procedural storytelling,generator
_DESIGN,_quest,side quest; goal; objectives; module or scenario or campaign design
_DESIGN,_rpg theory,
_DESIGN,_sandbox,
_DESIGN,_torture,
_DESIGN,_ux,wearrpg; tools to help the GM/Players
_LIBRARY,,curation; hoarding; collecting; library instruction
_LIBRARY,_appendixN,
_LIBRARY,_citation,Citation practices
_LIBRARY,_archive,
_LIBRARY,_text mining/text analysis,web scrapping
_LIBRARY,_data,data management
[no generic – fields],_neomedievalism,Arthurian
[no generic – fields],_ecology,
[no generic – fields],_economics,marketing
[no generic – fields],_literature,
[no generic – fields],_history,heritage
[no generic – fields],_game studies,
[no generic – fields],_law studies,court cases
[no generic – fields],_linguistics,
[no generic – fields],_philosophy,
[no generic – fields],_politics,
[no generic – fields],_music,
[no generic – fields],_stem,science; technology; engineering; IT
[no generic – fields],_mathematics,statistics
[no generic – fields],_medecine-nursing,
[no generic – Topics],_covid19,
[no generic – Topics],_dnd,
[no generic – Topics],_lovecraft,
[no generic – Topics],_tolkien,
[no generic – Topics],_wod,World of Darkness; vampire;…
[no generic – Topics],_[country],
[no generic – Topics],_roleplay,(non ludic)
[no generic – Topics],_story vs game,
[no generic – Topics],_storytelling,story; narrativity
[no generic – Topics],_typology,of players; of GMs; of games; etc.
[no generic – Topics],_asia,
[no generic – Population],_elderly,
[no generic – Population],_student,
[no generic – Population],_yo1-12,
[no generic – Population],_yo13-19,
[no generic – document],_major publication,
[no generic – document],_theoretical work,
[no generic – document],_empirical work,
[no generic – document],_encyclopedia,
[no generic – document],_assessment,evidence-base _literature review
[no generic – document],_interview,3rd source; handbook; definition
[no generic – document],_peer reviewed,measurement; metrics; partie test; survey; user observation
[no generic – document],_review,compte rendu; critique
